Provider;Location;Aggregate Date;Test Count;Sample Count;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;SINCELEJO;2022-07;4349.0;1329.0;median;1329.0;16.0;63441.0;18534.0;63.44;18.53
All Providers Combined;IBAGUE;2022-07;26254.0;6886.0;median;6886.0;13.0;78176.0;31085.0;78.18;31.09
All Providers Combined;CALI;2022-07;121377.0;36476.0;median;36476.0;18.0;77511.0;28336.0;77.51;28.34
All Providers Combined;PUERTO CARRENO;2022-07;3.0;1.0;median;1.0;118.0;2182.0;865.0;2.18;0.87
All Providers Combined;ARMENIA;2022-08;10498.0;2840.0;median;2840.0;24.0;94479.0;19589.0;94.48;19.59
All Providers Combined;LETICIA;2022-08;20.0;11.0;median;11.0;176.0;1275.0;762.0;1.28;0.76
All Providers Combined;MEDELLIN;2022-08;211139.0;64171.0;median;64171.0;10.0;93676.0;26904.0;93.68;26.9
All Providers Combined;ARAUCA;2022-08;1070.0;336.0;median;336.0;15.0;9934.0;4749.0;9.93;4.75
All Providers Combined;BARRANQUILLA;2022-08;60797.0;18091.0;median;18091.0;12.0;86963.0;31523.0;86.96;31.52
All Providers Combined;BOGOTA;2022-08;847070.0;246780.0;median;246780.0;8.0;93957.0;33187.0;93.96;33.19
All Providers Combined;CARTAGENA;2022-08;23355.0;6662.0;median;6662.0;11.0;92895.0;28360.0;92.9;28.36
All Providers Combined;TUNJA;2022-08;12425.0;3719.0;median;3719.0;16.0;66177.0;28441.0;66.18;28.44
All Providers Combined;MANIZALES;2022-08;27924.0;7573.0;median;7573.0;30.0;89048.0;18860.0;89.05;18.86
All Providers Combined;FLORENCIA;2022-08;3259.0;852.0;median;852.0;19.0;22386.0;23228.0;22.39;23.23
All Providers Combined;YOPAL;2022-08;9123.0;3355.0;median;3355.0;10.0;94466.0;32506.0;94.47;32.51
All Providers Combined;POPAYAN;2022-08;15830.0;4496.0;median;4496.0;20.0;57262.0;23987.0;57.26;23.99
All Providers Combined;VALLEDUPAR;2022-08;13345.0;4039.0;median;4039.0;27.0;72279.0;25964.0;72.28;25.96
All Providers Combined;QUIBDO;2022-08;605.0;124.0;median;124.0;45.0;6161.0;1058.0;6.16;1.06
All Providers Combined;MONTERIA;2022-08;10679.0;3292.0;median;3292.0;16.0;65772.0;23522.0;65.77;23.52
All Providers Combined;INIRIDA;2022-08;30.0;7.0;median;7.0;661.0;1104.0;591.0;1.1;0.59
